"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","hits","abs","exit_velocity","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","extension"
"157","519317","Giancarlo Stanton","1221","12.86","0.468","0.617","0.346","1.084","72","154","98.6","12.3","2157","89.06","88.27","0","157","null","-0.8","5.91"
"143","593934","Miguel Sano","1455","9.83","0.489","0.482","0.413","0.972","69","141","94.8","15.4","2204","89.90","89.39","0","143","null","-0.5","6.02"
"326","408234","Miguel Cabrera","1985","16.42","0.438","0.259","0.403","0.698","142","324","94.5","13.0","2124","89.40","89.08","0","326","null","-0.3","6.09"
"392","120074","David Ortiz","2485","15.77","0.354","0.359","0.285","0.714","136","384","93.8","15.2","2134","89.23","88.80","0","392","null","-0.4","6.13"
"371","443558","Nelson Cruz","2627","14.12","0.454","0.414","0.381","0.868","168","370","93.7","9.1","2169","88.82","88.20","0","371","null","-0.6","5.96"
"92","595885","Greg Bird","746","12.33","0.407","0.407","0.329","0.813","37","91","93.7","18.6","2055","90.27","89.62","0","92","null","-0.7","6.01"
"380","430832","Jose Bautista","2737","13.88","0.355","0.406","0.273","0.761","132","372","93.6","14.3","2173","89.74","89.47","0","380","null","-0.2","6.14"
"324","444432","Mark Trumbo","2074","15.62","0.387","0.288","0.341","0.675","125","323","93.5","12.6","2103","88.48","87.93","0","324","null","-0.6","5.97"
"123","624424","Michael Conforto","743","16.55","0.364","0.331","0.307","0.694","44","121","93.2","11.8","2123","90.08","89.90","0","123","null","-0.2","6.19"
"130","656941","Kyle Schwarber","1163","11.18","0.380","0.411","0.289","0.791","49","129","93.2","18.2","2079","89.77","89.28","0","130","null","-0.5","6.00"
"329","460075","Ryan Braun","2140","15.37","0.383","0.310","0.331","0.693","125","326","93.2","10.1","2056","89.03","88.70","0","329","null","-0.3","6.13"
"385","545361","Mike Trout","2981","12.92","0.421","0.432","0.346","0.853","160","380","93.2","14.7","2147","89.14","88.64","0","385","null","-0.5","6.02"
"435","493316","Yoenis Cespedes","2722","15.98","0.402","0.358","0.347","0.760","173","430","93.1","11.6","2128","88.67","88.23","0","435","null","-0.5","6.06"
"180","545341","Randal Grichuk","1393","12.92","0.436","0.447","0.382","0.883","78","179","93.1","16.9","2105","88.21","87.60","0","180","null","-0.6","5.90"
"368","502671","Paul Goldschmidt","2917","12.62","0.471","0.368","0.412","0.839","170","361","93.1","14.3","2161","89.52","89.04","0","368","null","-0.5","5.98"
"299","446263","Lucas Duda","2252","13.28","0.375","0.382","0.309","0.757","111","296","93.0","18.8","2075","89.00","88.55","0","299","null","-0.4","6.07"
"452","518626","Josh Donaldson","2817","16.05","0.395","0.366","0.327","0.761","174","440","92.9","8.4","2122","88.84","88.48","0","452","null","-0.3","6.10"
"218","624585","Jorge Soler","1626","13.41","0.419","0.223","0.385","0.642","90","215","92.8","11.6","2085","89.33","88.86","0","218","null","-0.4","5.98"
"284","476883","Pedro Alvarez","1916","14.82","0.375","0.343","0.306","0.718","105","280","92.7","7.2","2025","88.29","88.01","0","284","null","-0.3","6.06"
"418","434778","Kendrys Morales","2436","17.16","0.374","0.261","0.336","0.635","155","414","92.7","11.1","2044","87.80","87.31","0","418","null","-0.5","5.97"
"310","444482","David Peralta","1921","16.14","0.444","0.309","0.403","0.753","135","304","92.6","7.8","2083","88.64","88.22","0","310","null","-0.4","6.00"
"241","502143","Danny Valencia","1386","17.39","0.402","0.331","0.350","0.732","96","239","92.6","5.7","2143","88.67","88.11","0","241","null","-0.6","5.94"
"313","542303","Marcell Ozuna","1832","17.09","0.363","0.177","0.340","0.540","113","311","92.5","5.7","2148","88.72","87.84","0","313","null","-0.9","5.86"
"446","592518","Manny Machado","2789","15.99","0.378","0.308","0.321","0.686","167","442","92.4","11.9","2142","89.58","89.10","0","446","null","-0.5","6.05"
