"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","hits","abs","exit_velocity","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","extension"
"321","519048","Mitch Moreland","2033","15.79","0.401","0.287","0.351","0.688","127","317","92.3","10.2","2095","88.17","87.68","0","321","null","-0.5","6.02"
"267","592626","Joc Pederson","2456","10.87","0.355","0.358","0.285","0.713","94","265","92.3","12.3","2111","88.38","87.85","0","267","null","-0.5","5.94"
"214","474892","Chris Carter","1963","10.90","0.359","0.426","0.268","0.785","75","209","92.2","18.2","2150","88.05","87.44","0","214","null","-0.6","5.92"
"346","448801","Chris Davis","2786","12.42","0.424","0.480","0.332","0.904","145","342","92.2","18.0","2168","88.45","87.81","0","346","null","-0.7","5.98"
"262","571506","Justin Bour","1707","15.35","0.389","0.324","0.333","0.714","102","262","92.2","8.0","2105","89.00","88.18","0","262","null","-0.8","5.90"
"347","121347","Alex Rodriguez","2503","13.86","0.374","0.359","0.299","0.732","127","340","92.2","11.0","2141","89.39","88.84","0","347","null","-0.6","6.09"
"84","571437","Aaron Altherr","638","13.17","0.366","0.378","0.316","0.744","30","82","92.1","10.5","2153","89.31","88.67","0","84","null","-0.6","5.96"
"264","475582","Ryan Zimmerman","1546","17.08","0.335","0.283","0.281","0.618","85","254","92.1","7.8","2106","88.68","88.21","0","264","null","-0.5","6.04"
"87","502054","Tommy Pham","672","12.95","0.407","0.279","0.381","0.686","35","86","92.0","10.1","2173","88.83","88.46","0","87","null","-0.3","6.05"
"350","592885","Christian Yelich","2125","16.47","0.394","0.151","0.382","0.546","138","350","92.0","0.7","2150","89.47","88.58","0","350","null","-0.9","5.89"
"386","502110","J.D. Martinez","2605","14.82","0.430","0.385","0.367","0.815","165","384","91.8","16.6","2120","88.81","88.44","0","386","null","-0.4","6.06"
"77","542340","Jonathan Villar","501","15.37","0.408","0.197","0.387","0.605","31","76","91.8","3.5","1981","87.89","87.28","0","77","null","-0.6","5.93"
"192","475253","Justin Smoak","1266","15.17","0.346","0.377","0.276","0.723","66","191","91.7","10.3","2064","89.37","89.03","0","192","null","-0.4","6.10"
"447","571448","Nolan Arenado","2330","19.18","0.385","0.390","0.314","0.775","168","436","91.7","13.9","2152","88.83","88.95","0","447","null","0.1","6.13"
"310","501571","Juan Lagares","1801","17.21","0.351","0.143","0.336","0.494","108","308","91.7","6.8","2117","88.71","88.12","0","310","null","-0.6","6.03"
"310","429667","Ryan Howard","1897","16.34","0.336","0.319","0.279","0.655","103","307","91.7","15.9","2106","88.97","88.45","0","310","null","-0.5","6.04"
"412","547989","Jose Abreu","2521","16.34","0.401","0.290","0.358","0.691","165","411","91.7","9.8","2135","88.94","88.70","0","412","null","-0.2","6.13"
"154","407812","Matt Holliday","1062","14.50","0.391","0.179","0.367","0.570","59","151","91.6","9.5","2130","88.96","88.24","0","154","null","-0.8","5.84"
"106","429711","Franklin Gutierrez","843","12.57","0.457","0.533","0.363","0.990","48","105","91.6","11.8","2117","89.63","89.21","0","106","null","-0.4","6.04"
"468","405395","Albert Pujols","2514","18.62","0.301","0.286","0.239","0.587","140","465","91.6","13.0","2131","89.52","89.12","0","468","null","-0.4","6.06"
"170","554429","Dustin Ackley","1077","15.78","0.307","0.253","0.261","0.560","51","166","91.6","9.7","2122","88.46","87.84","0","170","null","-0.7","5.98"
"469","429664","Robinson Cano","2445","19.18","0.366","0.209","0.333","0.574","170","465","91.6","5.4","2118","88.82","88.28","0","469","null","-0.5","5.99"
"75","572180","Andrew Susac","583","12.86","0.373","0.267","0.347","0.640","28","75","91.6","8.0","2129","88.88","88.31","0","75","null","-0.6","5.89"
"224","518735","Yasmani Grandal","1759","12.73","0.368","0.259","0.317","0.627","81","220","91.6","10.9","2080","89.44","89.01","0","224","null","-0.4","5.98"
"480","425902","Prince Fielder","2483","19.33","0.373","0.189","0.340","0.562","177","475","91.5","9.9","2119","88.07","87.58","0","480","null","-0.5","6.00"
"100","488671","Alex Avila","979","10.21","0.310","0.170","0.281","0.480","31","100","91.5","13.3","2111","90.08","89.79","0","100","null","-0.3","6.13"
"106","547379","Roberto Perez","969","10.94","0.375","0.298","0.323","0.673","39","104","91.5","3.3","2216","90.71","90.29","0","106","null","-0.4","6.06"
"132","434604","Michael Morse","1035","12.75","0.386","0.182","0.362","0.568","51","132","91.4","3.5","2147","88.66","87.83","0","132","null","-0.9","5.89"
"345","136860","Carlos Beltran","2069","16.67","0.357","0.263","0.315","0.619","121","339","91.4","13.3","2081","88.84","88.16","0","345","null","-0.6","6.00"
"79","543742","Jerry Sands","535","14.77","0.346","0.244","0.307","0.590","27","78","91.4","8.3","2127","88.08","87.71","0","79","null","-0.4","6.05"
"358","547180","Bryce Harper","2677","13.37","0.452","0.444","0.377","0.895","160","354","91.4","13.9","2100","88.71","88.36","0","358","null","-0.3","6.12"
"345","467092","Wilson Ramos","1778","19.40","0.315","0.172","0.278","0.487","106","337","91.3","5.5","2130","88.71","88.35","0","345","null","-0.4","6.10"
"414","457705","Andrew McCutchen","2786","14.86","0.405","0.274","0.361","0.679","164","405","91.3","13.5","2130","89.80","89.50","0","414","null","-0.3","6.09"
"116","430605","Ryan Raburn","853","13.60","0.426","0.365","0.380","0.791","49","115","91.3","13.2","2047","87.39","86.98","0","116","null","-0.4","6.04"
"124","444379","John Jaso","870","14.25","0.410","0.246","0.378","0.656","50","122","91.3","10.2","2155","89.88","89.23","0","124","null","-0.7","6.05"
"371","425783","Shin-Soo Choo","2606","14.24","0.400","0.282","0.356","0.682","146","365","91.2","9.2","2124","88.83","88.25","0","371","null","-0.5","5.99"
"114","457454","Jarrod Saltalamacchia","920","12.39","0.372","0.336","0.321","0.708","42","113","91.2","20.4","2057","90.64","90.40","0","114","null","-0.2","6.14"
"293","628356","Jung Ho Kang","1889","15.51","0.404","0.250","0.371","0.654","118","292","91.2","7.6","2121","89.53","89.27","0","293","null","-0.2","6.11"
"294","518692","Freddie Freeman","1871","15.71","0.375","0.276","0.333","0.652","110","293","91.1","14.2","2023","88.94","88.23","0","294","null","-0.7","5.92"
"453","605141","Mookie Betts","2634","17.20","0.368","0.241","0.339","0.609","165","448","91.1","15.2","2145","89.21","88.75","0","453","null","-0.5","6.11"
"384","429665","Edwin Encarnacion","2517","15.26","0.368","0.376","0.291","0.744","138","375","91.1","12.0","2117","89.67","89.40","0","384","null","-0.3","6.17"
"204","452095","Tyler Flowers","1411","14.46","0.366","0.173","0.338","0.540","74","202","91.0","11.2","2153","88.42","88.19","0","204","null","-0.2","6.14"
"348","435622","Ian Desmond","2355","14.78","0.356","0.256","0.314","0.612","121","340","91.0","5.2","2142","87.60","87.20","0","348","null","-0.4","6.08"
"291","434670","Hanley Ramirez","1588","18.32","0.328","0.237","0.278","0.564","94","287","91.0","6.2","2170","89.06","88.60","0","291","null","-0.5","6.11"
"106","434567","Geovany Soto","875","12.11","0.358","0.330","0.299","0.689","38","106","90.9","13.7","2158","90.67","90.61","0","106","null","-0.1","6.21"
"222","517370","Jimmy Paredes","1408","15.77","0.441","0.232","0.410","0.673","97","220","90.9","9.4","2083","87.99","87.47","0","222","null","-0.5","6.06"
"423","502517","Daniel Murphy","1891","22.37","0.330","0.201","0.303","0.531","138","418","90.8","11.2","2113","88.86","88.39","0","423","null","-0.5","6.08"
"275","621043","Carlos Correa","1796","15.31","0.380","0.332","0.320","0.712","103","271","90.8","6.5","2131","88.40","87.77","0","275","null","-0.6","5.92"
"137","572816","Corey Dickerson","898","15.26","0.445","0.336","0.406","0.781","61","137","90.8","13.7","2057","87.32","87.10","0","137","null","-0.2","5.98"
"397","456715","Lorenzo Cain","2293","17.31","0.392","0.239","0.362","0.631","154","393","90.8","11.2","2147","88.55","88.12","0","397","null","-0.5","5.99"
"143","571771","Enrique Hernandez","826","17.31","0.421","0.264","0.385","0.686","59","140","90.8","8.5","2131","89.09","88.87","0","143","null","-0.2","6.05"
"190","570731","Jonathan Schoop","1122","16.93","0.428","0.332","0.374","0.759","80","187","90.8","10.9","2164","88.78","88.24","0","190","null","-0.6","6.01"
"368","471865","Carlos Gonzalez","2246","16.38","0.387","0.392","0.308","0.779","140","362","90.8","7.1","2085","88.43","88.56","0","368","null","0.2","6.12"
"201","605512","Preston Tucker","1278","15.73","0.338","0.279","0.293","0.617","68","201","90.8","6.9","2097","87.55","86.96","0","201","null","-0.6","5.91"
"139","452254","Hunter Pence","848","16.39","0.360","0.281","0.315","0.640","50","139","90.7","3.1","2098","89.52","89.03","0","139","null","-0.5","5.95"
"400","461858","Trevor Plouffe","2403","16.65","0.331","0.265","0.290","0.596","131","396","90.7","12.4","2163","88.84","88.25","0","400","null","-0.5","5.99"
"119","408307","Carl Crawford","704","16.90","0.370","0.218","0.348","0.588","44","119","90.7","12.6","2147","88.52","87.89","0","119","null","-0.6","5.90"
"216","150029","Jayson Werth","1571","13.75","0.332","0.227","0.291","0.559","70","211","90.7","12.8","2124","89.70","89.29","0","216","null","-0.4","6.09"
"357","518792","Jason Heyward","2348","15.20","0.394","0.211","0.369","0.606","140","355","90.7","7.3","2145","89.61","89.03","0","357","null","-0.6","5.95"
"218","499624","Chris Colabello","1372","15.89","0.481","0.287","0.441","0.769","104","216","90.7","7.3","2129","89.29","89.06","0","218","null","-0.2","6.20"
"227","501981","Khris Davis","1777","12.77","0.402","0.433","0.318","0.835","90","224","90.7","14.4","1973","88.14","87.72","0","227","null","-0.4","6.10"
"399","518934","DJ LeMahieu","2459","16.23","0.385","0.111","0.375","0.496","152","395","90.6","4.1","2128","87.83","87.90","0","399","null","0.1","6.09"
"219","571875","Jake Lamb","1548","14.15","0.412","0.194","0.390","0.606","89","216","90.6","13.5","2103","88.64","88.40","0","219","null","-0.2","6.11"
"221","543685","Anthony Rendon","1556","14.20","0.355","0.143","0.333","0.498","77","217","90.6","10.6","2166","89.79","89.42","0","221","null","-0.4","6.10"
"339","543063","Brandon Crawford","2169","15.63","0.361","0.296","0.317","0.657","121","335","90.6","8.4","2145","88.66","88.09","0","339","null","-0.6","5.92"
"347","435062","Howie Kendrick","1859","18.67","0.368","0.133","0.352","0.501","127","345","90.5","2.8","2097","88.16","87.65","0","347","null","-0.6","5.95"
"96","595386","Jason Rogers","686","13.99","0.417","0.188","0.398","0.604","40","96","90.5","11.2","2157","89.98","89.82","0","96","null","-0.2","6.26"
"393","457803","Jay Bruce","2532","15.52","0.318","0.305","0.264","0.622","122","384","90.5","14.2","2102","89.44","89.25","0","393","null","-0.1","6.17"
"413","543333","Eric Hosmer","2553","16.18","0.400","0.229","0.371","0.629","164","410","90.5","7.8","2158","88.75","88.24","0","413","null","-0.5","5.97"
"187","573131","Darin Ruf","1144","16.35","0.326","0.228","0.282","0.554","60","184","90.4","11.5","2159","87.93","87.22","0","187","null","-0.7","5.94"
"190","624577","Yasiel Puig","1205","15.77","0.354","0.270","0.313","0.624","67","189","90.4","13.4","2138","87.48","87.07","0","190","null","-0.4","6.06"
"409","453943","Todd Frazier","2550","16.04","0.356","0.356","0.291","0.711","143","402","90.4","16.0","2150","89.12","88.97","0","409","null","-0.1","6.20"
"468","466320","Melky Cabrera","2568","18.22","0.344","0.164","0.319","0.508","157","457","90.4","10.1","2126","88.12","87.83","0","468","null","-0.3","6.12"
"413","570256","Gregory Polanco","2541","16.25","0.331","0.175","0.314","0.506","136","411","90.4","10.3","2066","89.14","88.82","0","413","null","-0.3","6.08"
"114","474233","Hank Conger","930","12.26","0.384","0.393","0.311","0.777","43","112","90.4","15.8","2117","89.64","89.07","0","114","null","-0.5","5.97"
"286","592192","Mark Canha","1892","15.12","0.367","0.237","0.331","0.604","104","283","90.4","9.8","2154","88.83","88.12","0","286","null","-0.7","5.87"
"331","453064","Troy Tulowitzki","2119","15.62","0.401","0.232","0.363","0.633","131","327","90.3","10.4","2127","88.78","88.63","0","331","null","-0.2","6.08"
"351","457708","Justin Upton","2523","13.91","0.354","0.288","0.303","0.643","123","347","90.3","14.7","2158","89.26","88.75","0","351","null","-0.5","6.03"
"165","455104","Chris Iannetta","1313","12.57","0.296","0.247","0.245","0.543","48","162","90.3","15.2","2148","89.33","88.94","0","165","null","-0.4","6.05"
"355","452252","Adam Lind","2254","15.75","0.369","0.259","0.328","0.628","130","352","90.3","12.3","2060","88.60","88.21","0","355","null","-0.4","6.11"
"158","542994","Joey Butler","1058","14.93","0.424","0.190","0.401","0.614","67","158","90.3","3.1","2117","87.19","86.47","0","158","null","-0.7","5.92"
"405","488862","Yunel Escobar","1983","20.42","0.375","0.119","0.360","0.494","151","403","90.2","3.8","2133","89.66","89.36","0","405","null","-0.3","6.15"
"306","474832","Brandon Belt","2314","13.22","0.430","0.308","0.389","0.738","130","302","90.2","16.3","2095","88.29","87.71","0","306","null","-0.6","5.90"
"220","519208","Clint Robinson","1392","15.80","0.361","0.205","0.329","0.566","79","219","90.2","11.7","2115","89.00","88.77","0","220","null","-0.2","6.19"
"427","446334","Evan Longoria","2536","16.84","0.376","0.222","0.338","0.598","157","418","90.2","13.9","2111","89.39","88.86","0","427","null","-0.5","6.07"
"252","630111","Yasmany Tomas","1472","17.12","0.414","0.207","0.391","0.622","104","251","90.2","7.4","2149","87.94","87.38","0","252","null","-0.5","5.94"
"278","407893","Mark Teixeira","1815","15.32","0.359","0.410","0.274","0.769","98","273","90.2","13.3","2075","89.35","88.77","0","278","null","-0.5","6.05"
"290","431145","Russell Martin","2112","13.73","0.354","0.323","0.295","0.677","101","285","90.2","6.8","2184","90.08","89.76","0","290","null","-0.3","6.16"
"366","458015","Joey Votto","3000","12.20","0.437","0.319","0.389","0.755","159","364","90.1","12.0","2067","89.38","89.28","0","366","null","-0.1","6.23"
"371","543434","Brett Lawrie","2297","16.15","0.369","0.219","0.337","0.587","135","366","90.1","7.0","2118","86.85","86.09","0","371","null","-0.8","5.84"
"297","543543","Brad Miller","1788","16.61","0.346","0.204","0.313","0.550","100","289","90.1","8.2","2093","87.30","86.87","0","297","null","-0.4","6.03"
"266","425560","Adam LaRoche","1907","13.95","0.326","0.216","0.291","0.542","86","264","90.1","13.3","2088","88.97","88.68","0","266","null","-0.3","6.11"
"245","458675","Colby Rasmus","2010","12.19","0.401","0.421","0.327","0.822","97","242","90.0","19.5","2129","88.01","87.25","0","245","null","-0.8","5.90"
"252","543807","George Springer","1789","14.09","0.406","0.253","0.366","0.659","101","249","90.0","8.6","2120","88.02","87.42","0","252","null","-0.6","5.91"
"299","472528","Luis Valbuena","2056","14.54","0.321","0.304","0.258","0.625","95","296","90.0","15.1","2078","87.47","86.85","0","299","null","-0.7","5.91"
"329","489149","Logan Morrison","1940","16.96","0.284","0.217","0.244","0.502","93","327","90.0","10.1","2107","88.15","87.60","0","329","null","-0.5","5.99"
"168","519237","Cameron Rupp","1138","14.76","0.355","0.223","0.314","0.578","59","166","90.0","14.6","2112","87.86","87.30","0","168","null","-0.6","5.99"
"402","519058","Mike Moustakas","2435","16.51","0.367","0.230","0.331","0.597","145","395","89.9","14.3","2129","88.68","88.15","0","402","null","-0.6","5.97"
"387","456714","Billy Butler","2247","17.22","0.334","0.185","0.306","0.520","128","383","89.9","8.1","2182","88.28","87.54","0","387","null","-0.8","5.87"
"328","592178","Kris Bryant","2663","12.32","0.427","0.344","0.375","0.771","138","323","89.9","19.3","2144","89.88","89.32","0","328","null","-0.6","5.94"
"114","571431","Matt Adams","693","16.45","0.345","0.186","0.318","0.531","39","113","89.9","9.8","2072","89.12","88.35","0","114","null","-0.8","5.86"
"376","467793","Carlos Santana","2863","13.13","0.337","0.240","0.297","0.577","125","371","89.9","9.0","2127","89.36","89.00","0","376","null","-0.4","6.07"
"120","451089","Shane Peterson","899","13.35","0.415","0.153","0.402","0.568","49","118","89.9","10.0","2041","89.36","88.87","0","120","null","-0.5","6.01"
"469","134181","Adrian Beltre","2287","20.51","0.330","0.195","0.299","0.525","152","461","89.8","12.8","2158","89.37","88.95","0","469","null","-0.5","6.07"
"223","456078","Welington Castillo","1436","15.53","0.362","0.339","0.294","0.702","79","218","89.8","13.3","2142","88.74","88.33","0","223","null","-0.4","6.03"
"94","434540","Garrett Jones","583","16.12","0.319","0.223","0.281","0.543","30","94","89.8","12.6","2116","88.02","87.46","0","94","null","-0.5","6.09"
"281","452234","Seth Smith","1905","14.75","0.337","0.264","0.305","0.601","93","276","89.8","11.9","2149","89.71","89.26","0","281","null","-0.4","6.04"
"104","431151","David Wright","686","15.16","0.404","0.202","0.374","0.606","42","104","89.8","15.5","2126","90.11","89.61","0","104","null","-0.5","6.08"
"335","435263","Brian McCann","2094","16.00","0.323","0.287","0.259","0.610","106","328","89.8","14.9","2097","89.09","88.47","0","335","null","-0.6","6.04"
"106","571974","John Ryan Murphy","663","15.99","0.388","0.194","0.359","0.583","40","103","89.8","9.1","2114","87.38","86.78","0","106","null","-0.6","6.01"
"197","429713","Grady Sizemore","1063","18.53","0.347","0.179","0.325","0.526","68","196","89.7","12.2","2096","89.58","89.01","0","197","null","-0.6","6.02"
"154","572039","Stephen Piscotty","985","15.63","0.414","0.276","0.381","0.691","63","152","89.7","12.6","2098","88.04","87.51","0","154","null","-0.5","5.95"
"297","457759","Justin Turner","1701","17.46","0.373","0.260","0.332","0.634","109","292","89.7","13.7","2092","88.33","87.90","0","297","null","-0.4","6.01"
"241","460026","Nick Hundley","1449","16.63","0.429","0.250","0.403","0.679","103","240","89.7","9.9","2100","88.47","88.69","0","241","null","0.2","6.15"
"399","434158","Curtis Granderson","2970","13.43","0.359","0.281","0.313","0.641","142","395","89.7","17.6","2104","88.93","88.51","0","399","null","-0.4","6.09"
"422","543401","Jason Kipnis","2540","16.61","0.387","0.197","0.369","0.584","161","416","89.6","9.4","2099","88.33","87.81","0","422","null","-0.5","5.98"
"163","518595","Travis d'Arnaud","987","16.51","0.391","0.304","0.342","0.696","63","161","89.6","13.4","2101","88.83","88.25","0","163","null","-0.5","6.02"
"448","408045","Joe Mauer","2715","16.50","0.350","0.153","0.331","0.503","155","443","89.6","5.1","2155","89.23","88.56","0","448","null","-0.6","5.97"
"123","408047","Justin Morneau","637","19.31","0.407","0.179","0.397","0.585","50","123","89.6","9.6","2085","86.87","87.04","0","123","null","0.1","6.15"
"405","594828","Evan Gattis","2102","19.27","0.340","0.303","0.290","0.643","136","400","89.6","8.8","2140","88.66","88.00","0","405","null","-0.7","5.92"
"441","457763","Buster Posey","2188","20.16","0.370","0.191","0.338","0.561","161","435","89.6","11.1","2125","89.36","88.86","0","441","null","-0.5","5.95"
"448","572041","A.J. Pollock","2361","18.98","0.387","0.232","0.353","0.620","170","439","89.6","10.3","2127","88.25","87.81","0","448","null","-0.4","6.01"
"421","461314","Matt Kemp","2537","16.59","0.363","0.247","0.321","0.610","150","413","89.5","12.2","2160","89.24","88.72","0","421","null","-0.5","6.02"
"399","445988","Martin Prado","2157","18.50","0.356","0.128","0.336","0.485","139","390","89.5","6.4","2139","89.66","88.82","0","399","null","-0.9","5.91"
"163","475247","Ryan Flaherty","1149","14.19","0.311","0.242","0.266","0.553","50","161","89.5","11.0","2101","89.42","88.96","0","163","null","-0.4","6.10"
"278","461235","Brandon Moss","2050","13.56","0.342","0.291","0.292","0.633","94","275","89.5","18.1","2111","88.37","87.90","0","278","null","-0.5","5.97"
"193","572287","Mike Zunino","1582","12.20","0.314","0.215","0.273","0.529","60","191","89.5","18.6","2164","87.99","87.44","0","193","null","-0.6","5.97"
"220","596748","Maikel Franco","1206","18.24","0.374","0.301","0.330","0.676","82","219","89.5","9.5","2120","89.26","88.92","0","220","null","-0.4","6.10"
"128","489138","Tyler Moore","771","16.60","0.283","0.228","0.246","0.512","36","127","89.5","14.8","2091","88.19","87.74","0","128","null","-0.5","6.09"
"435","488726","Michael Brantley","2149","20.24","0.374","0.209","0.348","0.584","161","430","89.4","9.3","2115","89.39","88.92","0","435","null","-0.5","6.02"
"295","501896","David Freese","1842","16.02","0.363","0.226","0.330","0.589","106","292","89.4","6.0","2151","88.45","87.96","0","295","null","-0.5","6.02"
"290","596019","Francisco Lindor","1578","18.38","0.398","0.226","0.364","0.624","111","279","89.4","4.4","2087","88.61","88.25","0","290","null","-0.3","6.03"
"196","519306","Steven Souza Jr.","1716","11.42","0.390","0.328","0.333","0.718","76","195","89.4","12.4","2164","88.33","87.67","0","196","null","-0.6","6.00"
"176","476704","Jed Lowrie","1086","16.21","0.286","0.229","0.246","0.514","50","175","89.4","13.5","2071","86.56","85.82","0","176","null","-0.8","5.86"
"404","435522","Neil Walker","2336","17.29","0.343","0.210","0.309","0.553","136","396","89.3","13.8","2058","89.24","89.03","0","404","null","-0.2","6.14"
"487","572122","Kyle Seager","2537","19.20","0.329","0.232","0.289","0.561","159","483","89.3","15.7","2143","88.70","88.15","0","487","null","-0.5","5.98"
"245","543305","Aaron Hicks","1509","16.24","0.333","0.206","0.299","0.539","81","243","89.3","10.8","2137","88.87","88.29","0","245","null","-0.6","6.04"
"131","475100","Scott Van Slyke","946","13.85","0.375","0.250","0.336","0.625","48","128","89.3","18.4","2165","88.86","88.35","0","131","null","-0.6","5.98"
"325","457706","Austin Jackson","2201","14.77","0.363","0.177","0.344","0.540","117","322","89.3","7.5","2141","88.26","87.88","0","325","null","-0.4","6.05"
"267","518960","Jonathan Lucroy","1670","15.99","0.342","0.177","0.317","0.519","89","260","89.3","10.6","2051","88.77","88.37","0","267","null","-0.4","6.07"
"232","503556","Marwin Gonzalez","1310","17.71","0.388","0.241","0.355","0.629","90","232","89.3","7.1","2120","89.66","89.10","0","232","null","-0.6","5.95"
"134","598265","Jackie Bradley Jr.","1067","12.56","0.377","0.415","0.317","0.792","49","130","89.2","11.7","2166","88.62","88.24","0","134","null","-0.4","6.15"
"222","431094","Aaron Hill","1291","17.20","0.313","0.164","0.282","0.477","67","214","89.2","15.0","2099","88.66","88.31","0","222","null","-0.4","6.08"
"286","576397","Jedd Gyorko","1819","15.72","0.348","0.216","0.304","0.564","98","282","89.2","12.7","2101","89.22","88.66","0","286","null","-0.5","6.02"
"143","501983","Travis Snider","1082","13.22","0.364","0.196","0.345","0.559","52","143","89.2","9.6","2056","87.62","87.11","0","143","null","-0.5","6.06"
"129","456488","Eduardo Nunez","723","17.84","0.336","0.211","0.312","0.547","43","128","89.2","3.6","2134","90.11","89.60","0","129","null","-0.5","6.01"
"300","458085","Chris Coghlan","2016","14.88","0.350","0.283","0.313","0.633","105","300","89.2","13.2","2103","89.88","89.24","0","300","null","-0.7","5.91"
"238","346874","Juan Uribe","1525","15.61","0.359","0.232","0.320","0.591","85","237","89.2","9.6","2083","89.28","88.75","0","238","null","-0.5","5.98"
"416","408236","Adrian Gonzalez","2473","16.82","0.363","0.262","0.318","0.625","150","413","89.2","14.0","2085","88.85","88.37","0","416","null","-0.5","5.97"
"158","453400","Chris Johnson","1018","15.52","0.382","0.127","0.368","0.510","60","157","89.1","11.2","2131","88.60","88.24","0","158","null","-0.4","6.04"
"446","455976","Nick Markakis","2710","16.46","0.373","0.108","0.368","0.481","166","445","89.1","8.7","2067","88.28","87.58","0","446","null","-0.7","5.92"
"363","450314","Ben Zobrist","2157","16.83","0.331","0.203","0.305","0.535","119","359","89.1","7.9","2092","88.58","87.98","0","363","null","-0.6","5.92"
"428","519203","Anthony Rizzo","2759","15.51","0.372","0.310","0.321","0.682","157","422","89.1","16.7","2075","89.40","88.84","0","428","null","-0.6","5.94"
"216","425796","Jeff Francoeur","1187","18.20","0.385","0.268","0.340","0.653","82","213","89.1","13.6","2112","88.28","87.67","0","216","null","-0.6","6.00"
"245","543068","C.J. Cron","1534","15.97","0.397","0.264","0.352","0.661","96","242","89.1","10.6","2160","88.15","87.69","0","245","null","-0.4","5.98"
"142","611177","Adonis Garcia","708","20.06","0.350","0.236","0.311","0.586","49","140","89.1","7.5","2072","88.39","87.72","0","142","null","-0.7","5.90"
