"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FT","2017-11-01","91.5","1.9782","5.7409","Alex Wood",543807,622072,"null","swinging_strike",,,,,"3","null","W","R","L","LAD","HOU","S","null","null",0,1,2017,"1.4674","1.2860","0.3213","2.9790","null","null","null",2,9,"Top","null","null",,,605131,,"171102_035059",,,,,,,"3.5779","1.6515","null","null","null","90.7420","2043","6.0730",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.4268","0.000","0.000","null","null","null","null","null",72,"2"
"FT","2017-11-01","91.0","2.0702","5.5813","Alex Wood",543807,622072,"null","foul",,,,,"8","null","W","R","L","LAD","HOU","S","null","null",0,0,2017,"0.8906","1.6481","0.1095","1.7341","null","null","null",2,9,"Top","null","null",,,605131,,"171102_035041",,,,,,,"3.6804","1.7540","112","64.6","17.8079","90.7960","1959","6.2590",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.2402","0.000","0.000","null","null","null","null",2,72,"1"
"CH","2017-11-01","84.0","2.5151","5.4014","Alex Wood",457727,622072,"strikeout","called_strike",,,,,"14","Cameron Maybin called out on strikes.  ","W","R","L","LAD","HOU","S","null","null",2,2,2017,"1.5714","0.9130","0.9023","1.2931","null","null","null",1,9,"Top","null","null",,,605131,,"171102_035009",,,,,,,"3.5880","1.7230","null","null","null","83.8030","1759","6.3610",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.1391","0.000","0.000","0.00",1,0,0,"null",71,"5"
"CH","2017-11-01","85.0","2.4127","5.3720","Alex Wood",457727,622072,"null","swinging_strike",,,,,"13","null","W","R","L","LAD","HOU","S","null","null",2,1,2017,"1.7648","0.6327","-0.2886","1.4055","null","null","null",1,9,"Top","null","null",,,605131,,"171102_034953",,,,,,,"3.5663","1.7126","null","null","null","84.4610","1607","6.0690",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.4311","0.000","0.000","null","null","null","null","null",71,"4"
"FT","2017-11-01","90.7","2.1420","5.5825","Alex Wood",457727,622072,"null","swinging_strike",,,,,"6","null","W","R","L","LAD","HOU","S","null","null",2,0,2017,"1.2593","1.7381","0.6710","2.8403","null","null","null",1,9,"Top","null","null",,,605131,,"171102_034939",,,,,,,"3.5048","1.6306","null","null","null","90.4570","1982","6.3390",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.1607","0.000","0.000","null","null","null","null","null",71,"3"
"CH","2017-11-01","83.5","2.4120","5.5911","Alex Wood",457727,622072,"null","ball",,,,,"14","null","W","R","L","LAD","HOU","B","null","null",1,0,2017,"1.6928","1.2395","0.5263","1.2683","null","null","null",1,9,"Top","null","null",,,605131,,"171102_034922",,,,,,,"3.5567","1.6306","null","null","null","82.6150","1607","5.9610",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.5387","0.000","0.000","null","null","null","null","null",71,"2"
"FT","2017-11-01","90.9","2.1838","5.6316","Alex Wood",457727,622072,"null","ball",,,,,"14","null","W","R","L","LAD","HOU","B","null","null",0,0,2017,"1.1116","1.6758","0.4666","1.3700","null","null","null",1,9,"Top","null","null",,,605131,,"171102_034911",,,,,,,"3.5362","1.6511","null","null","null","90.6600","1947","6.3230",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.1763","0.000","0.000","null","null","null","null","null",71,"1"
"KC","2017-11-01","83.7","2.4117","5.5327","Alex Wood",450203,622072,"strikeout","called_strike",,,,,"14","Charlie Morton called out on strikes.  ","W","R","L","LAD","HOU","S","null","null",0,2,2017,"0.4118","-0.1655","0.4724","1.5103","null","null","null",0,9,"Top","null","null",,,605131,,"171102_034838",,,,,,,"3.6931","1.7134","null","null","null","82.5040","2049","5.8560",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.6432","0.000","0.000","0.00",1,0,0,"null",70,"3"
"FT","2017-11-01","90.4","2.1859","5.6695","Alex Wood",450203,622072,"null","called_strike",,,,,"8","null","W","R","L","LAD","HOU","S","null","null",0,1,2017,"1.3368","1.4647","-0.0655","2.0102","null","null","null",0,9,"Top","null","null",,,605131,,"171102_034827",,,,,,,"3.6521","1.7749","null","null","null","90.4130","1932","6.3420",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.1580","0.000","0.000","null","null","null","null","null",70,"2"
"FT","2017-11-01","90.3","2.0556","5.8331","Alex Wood",450203,622072,"null","called_strike",,,,,"5","null","W","R","L","LAD","HOU","S","null","null",0,0,2017,"1.1003","1.6479","0.2374","2.6623","null","null","null",0,9,"Top","null","null",,,605131,,"171102_034816",,,,,,,"3.7546","1.7749","null","null","null","90.1410","1814","6.2440",526517,622072,605131,641355,523253,457759,608369,592626,621035,624577,"54.2561","0.000","0.000","null","null","null","null","null",70,"1"
"FF","2017-11-01","96.4","-1.9192","6.1741","Charlie Morton",605131,450203,"field_out","hit_into_play",,,,,"5","Austin Barnes lines out to center fielder Cameron Maybin.  ","W","R","R","LAD","HOU","X","8","line_drive",1,1,2017,"-1.3016","1.5665","0.1790","2.5904","null","null","null",2,8,"Bot","170.68","58.59",,,435263,,"171102_034510",,,,,,,"3.1973","1.4507","348","97.0","21.4110","94.5590","2216","5.7930",526517,450203,435263,493329,514888,608324,621043,503556,457727,543807,"54.7067","0.374","0.491","0.00",1,0,0,4,69,"3"
"FF","2017-11-01","95.0","-1.8815","5.8581","Charlie Morton",605131,450203,"null","ball",,,,,"14","null","W","R","R","LAD","HOU","B","null","null",0,1,2017,"-1.2182","0.8535","0.4299","1.3761","null","null","null",2,8,"Bot","null","null",,,435263,,"171102_034437",,,,,,,"3.2483","1.5328","null","null","null","93.3790","2238","5.7260",526517,450203,435263,493329,514888,608324,621043,503556,457727,543807,"54.7734","0.000","0.000","null","null","null","null","null",69,"2"
"FC","2017-11-01","90.4","-2.1094","5.8346","Charlie Morton",605131,450203,"null","swinging_strike",,,,,"14","null","W","R","R","LAD","HOU","S","null","null",0,0,2017,"0.4140","1.1886","1.4442","1.5383","null","null","null",2,8,"Bot","null","null",,,435263,,"171102_034419",,,,,,,"3.1973","1.3687","null","null","null","88.8390","2525","5.6550",526517,450203,435263,493329,514888,608324,621043,503556,457727,543807,"54.8448","0.000","0.000","null","null","null","null","null",69,"1"
"FF","2017-11-01","96.6","-1.8867","5.9525","Charlie Morton",523253,450203,"field_out","hit_into_play",,,,,"6","Logan Forsythe flies out to right fielder George Springer.  ","W","R","R","LAD","HOU","X","9","fly_ball",2,2,2017,"-1.0621","1.1637","0.3192","2.1920","null","null","null",1,8,"Bot","200.25","103.08",,,435263,,"171102_034348",,,,,,,"3.2240","1.5409","292","86.3","34.5820","94.7990","2286","5.5910",526517,450203,435263,493329,514888,608324,621043,503556,457727,543807,"54.9089","0.017","0.023","0.00",1,0,0,3,68,"6"
"FF","2017-11-01","95.9","-1.8763","5.8800","Charlie Morton",523253,450203,"null","foul",,,,,"9","null","W","R","R","LAD","HOU","S","null","null",2,2,2017,"-0.9557","0.8567","0.7054","1.5141","null","null","null",1,8,"Bot","null","null",,,435263,,"171102_034305",,,,,,,"3.3265","1.5614","null","null","null","94.8930","2151","5.8830",526517,450203,435263,493329,514888,608324,621043,503556,457727,543807,"54.6163","0.000","0.000","null","null","null","null","null",68,"5"
