"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-11-01","93.3","-1.5694","5.6859","Lance McCullers Jr.",608369,621121,"null","foul",,,,,"14","null","W","L","R","LAD","HOU","S","null","null",0,0,2017,"-0.5490","1.0941","1.1036","1.7026","null","null","null",0,3,"Bot","null","null",,,435263,,"171102_013221",,,,,,,"3.4675","1.6227","4","45.3","-25.6237","92.3690","2314","5.9380",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.5621","0.000","0.000","null","null","null","null",1,25,"1"
"FF","2017-11-01","94.0","-1.6378","5.4434","Lance McCullers Jr.",621035,621121,"double_play","hit_into_play",,,,,"14","Chris Taylor lines into a double play, shortstop Carlos Correa to second baseman Jose Altuve.   Logan Forsythe doubled off 2nd.  ","W","R","R","LAD","HOU","X","6","line_drive",0,0,2017,"-0.8076","1.0510","0.4099","1.3220","null","523253.00","571771.00",1,2,"Bot","112.98","149.55",,,435263,,"171102_012231",,,,,,,"3.5409","1.6637","165","95.7","7.5370","93.5060","2366","6.0280",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.4717","0.693","0.656","0.00",1,0,0,4,21,"1"
"FF","2017-11-01","93.8","-1.7238","5.4400","Lance McCullers Jr.",571771,621121,"hit_by_pitch","hit_by_pitch",,,,,"11","Enrique Hernandez hit by pitch.  ","W","R","R","LAD","HOU","B","null","null",3,1,2017,"-1.0510","1.0987","-2.4067","3.4006","null","523253.00","null",1,2,"Bot","null","null",,,435263,,"171102_012120",,,,,,,"3.2276","1.5004","null","null","null","92.2120","2261","5.8060",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.6941","0.000","0.000","0.70",1,0,0,"null",20,"5"
"KC","2017-11-01","86.3","-1.5464","5.4848","Lance McCullers Jr.",571771,621121,"null","ball",,,,,"14","null","W","R","R","LAD","HOU","B","null","null",2,1,2017,"0.6719","-0.3233","1.0520","1.9113","null","523253.00","null",1,2,"Bot","null","null",,,435263,,"171102_012056",,,,,,,"3.2276","1.5619","null","null","null","84.9790","2771","5.3950",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.1042","0.000","0.000","null","null","null","null","null",20,"4"
"FF","2017-11-01","94.3","-1.6285","5.4174","Lance McCullers Jr.",571771,621121,"null","called_strike",,,,,"5","null","W","R","R","LAD","HOU","S","null","null",2,0,2017,"-1.0586","0.8846","0.1499","2.3433","null","523253.00","null",1,2,"Bot","null","null",,,435263,,"171102_012033",,,,,,,"3.3092","1.5414","null","null","null","93.3920","2213","5.9850",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"54.5150","0.000","0.000","null","null","null","null","null",20,"3"
"KC","2017-11-01","86.9","-1.5606","5.6159","Lance McCullers Jr.",571771,621121,"null","ball",,,,,"13","null","W","R","R","LAD","HOU","B","null","null",1,0,2017,"0.7965","0.1446","-1.1708","1.4402","null","523253.00","null",1,2,"Bot","null","null",,,435263,,"171102_012006",,,,,,,"3.2891","1.5004","null","null","null","85.2960","2717","5.3560",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.1437","0.000","0.000","null","null","null","null","null",20,"2"
"KC","2017-11-01","86.5","-1.5914","5.6152","Lance McCullers Jr.",571771,621121,"null","ball",,,,,"13","null","W","R","R","LAD","HOU","B","null","null",0,0,2017,"0.5703","0.3231","-1.4237","2.1574","null","523253.00","null",1,2,"Bot","null","null",,,435263,,"171102_011930",,,,,,,"3.2276","1.6029","null","null","null","85.1940","2748","5.4990",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.0003","0.000","0.000","null","null","null","null","null",20,"1"
"KC","2017-11-01","85.5","-1.6474","5.5992","Lance McCullers Jr.",605131,621121,"field_out","hit_into_play",,,,,"7","Austin Barnes grounds out, third baseman Alex Bregman to first baseman Yuli Gurriel.   Logan Forsythe to 2nd.  ","W","R","R","LAD","HOU","X","5","ground_ball",2,2,2017,"0.9434","-0.1762","-0.5225","1.9477","null","null","523253.00",0,2,"Bot","106.39","163.24",,,435263,,"171102_011831",,,,,,,"3.1565","1.4509","6","94.9","-17.2720","84.1140","2696","5.4010",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.0984","0.167","0.153","0.00",1,0,0,2,19,"5"
"KC","2017-11-01","84.9","-1.6392","5.4800","Lance McCullers Jr.",605131,621121,"null","called_strike",,,,,"5","null","W","R","R","LAD","HOU","S","null","null",2,1,2017,"0.6598","-0.4817","0.1291","2.3697","null","null","523253.00",0,2,"Bot","null","null",,,435263,,"171102_011801",,,,,,,"3.2686","1.5229","null","null","null","83.6980","2724","5.4720",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.0279","0.000","0.000","null","null","null","null","null",19,"4"
"KC","2017-11-01","86.9","-1.5190","5.4931","Lance McCullers Jr.",605131,621121,"null","ball",,,,,"3","null","W","R","R","LAD","HOU","B","null","null",1,1,2017,"0.7298","-0.4809","0.4488","3.3527","null","null","523253.00",0,2,"Bot","null","null",,,435263,,"171102_011738",,,,,,,"3.2895","1.5740","null","null","null","84.9910","2763","5.2060",526517,621121,435263,493329,514888,608324,621043,503556,543807,502210,"55.2932","0.000","0.000","null","null","null","null","null",19,"3"
